Country Name,Tweet Count,Non Disaster Tweet Actual,Non Disaster Tweet Predicted,Disaster Tweet Actual,Disaster Tweet Predicted,Accuracy (%)
United Arab Emirates,1,0,0,1,1,100.0
Argentina,4,2,3,2,1,75.0
Australia,30,17,16,13,14,83.33
Azerbaijan,1,1,1,0,0,100.0
Bulgaria,1,1,1,0,0,100.0
Brazil,10,8,7,2,3,90.0
Barbados,1,1,1,0,0,100.0
Central African Republic,2,0,0,2,2,100.0
Canada,59,27,33,32,26,76.27
Switzerland,4,3,3,1,1,100.0
Chile,2,2,2,0,0,100.0
China,5,4,2,1,3,60.0
Cameroon,1,1,0,0,1,0.0
Colombia,3,2,3,1,0,66.67
Cayman Islands,1,0,1,1,0,0.0
Cyprus,2,1,2,1,0,50.0
Germany,8,5,5,3,3,100.0
Dominican Republic,3,0,0,3,3,100.0
Ecuador,3,2,1,1,2,66.67
Egypt,1,0,1,1,0,0.0
Spain,6,3,4,3,2,83.33
Finland,3,1,2,2,1,66.67
France,3,2,2,1,1,100.0
United Kingdom,123,79,97,44,26,80.49
Ghana,2,2,2,0,0,100.0
Gambia,1,0,1,1,0,0.0
Greece,2,1,1,1,1,100.0
Hong Kong,2,1,2,1,0,50.0
Honduras,2,2,2,0,0,100.0
Hungary,1,1,1,0,0,100.0
Indonesia,10,4,6,6,4,80.0
Isle of Man,1,0,0,1,1,100.0
India,60,10,15,50,45,88.33
Ireland,3,3,3,0,0,100.0
Iraq,1,0,1,1,0,0.0
Israel,4,1,3,3,1,50.0
Italy,4,2,3,2,1,75.0
Jamaica,3,0,2,3,1,33.33
Jersey,2,1,2,1,0,50.0
Japan,15,11,11,4,4,86.67
Kenya,16,9,9,7,7,87.5
Laos,1,1,1,0,0,100.0
Lebanon,1,0,1,1,0,0.0
Sri Lanka,1,0,0,1,1,100.0
Morocco,1,1,1,0,0,100.0
Mexico,3,0,1,3,2,66.67
Macedonia,1,1,1,0,0,100.0
Malta,1,1,1,0,0,100.0
Mongolia,1,1,1,0,0,100.0
Malaysia,6,4,4,2,2,66.67
Nigeria,37,9,11,28,26,83.78
Netherlands,5,1,2,4,3,80.0
Norway,4,1,3,3,1,50.0
New Zealand,3,2,2,1,1,100.0
Pakistan,7,1,1,6,6,100.0
Panama,1,1,1,0,0,100.0
Peru,2,0,1,2,1,50.0
Philippines,11,6,7,5,4,72.73
Poland,1,1,1,0,0,100.0
Puerto Rico,2,1,1,1,1,100.0
Portugal,2,1,2,1,0,50.0
Palestine,1,1,1,0,0,100.0
Russia,4,1,3,3,1,50.0
Saudi Arabia,3,0,1,3,2,66.67
Sudan,1,1,1,0,0,100.0
Senegal,1,0,0,1,1,100.0
Singapore,5,5,5,0,0,100.0
Somalia,1,1,0,0,1,0.0
South Sudan,6,6,6,0,0,100.0
Slovenia,1,1,1,0,0,100.0
Sweden,7,2,4,5,3,71.43
Syria,1,0,0,1,1,100.0
Thailand,6,4,4,2,2,100.0
Turkmenistan,1,1,1,0,0,100.0
Trinidad and Tobago,3,2,3,1,0,66.67
Ukraine,1,0,0,1,1,100.0
United States,625,363,395,262,230,79.2
Vatican,1,0,1,1,0,0.0
Venezuela,3,2,2,1,1,100.0
South Africa,11,8,8,3,3,81.82
